fortune_name,community_cosine
3M,0
ABM INDUSTRIES,0
AECOM,0
AES,0
AIR PRODUCTS & CHEMICALS,0
ALASKA AIR GROUP,0
AMEREN,0
AMERICAN AIRLINES GROUP,0
AMERICAN ELECTRIC POWER,0
ARAMARK,0
BALL,0
BERKSHIRE HATHAWAY,0
BOEING,0
BOOKING HOLDINGS,0
BOOZ ALLEN HAMILTON,0
CELANESE,0
CENTERPOINT ENERGY,0
CHEMOURS,0
CHEVRON,0
CMS ENERGY,0
CONOCOPHILLIPS,0
CONSOLIDATED EDISON,0
CORNING,0
CSX,0
DAVITA,0
DELTA AIR LINES,0
DOMINION ENERGY,0
DTE ENERGY,0
DUKE ENERGY,0
DUPONT DE NEMOURS,0
EDISON INTERNATIONAL,0
EMERSON ELECTRIC,0
ENERGY TRANSFER,0
ENTERGY,0
EVERSOURCE ENERGY,0
EXELON,0
EXXONMOBIL,0
FEDEX,0
FIRSTENERGY,0
FLUOR,0
GENERAL DYNAMICS,0
GOODYEAR TIRE & RUBBER,0
GRAPHIC PACKAGING HOLDING,0
HALLIBURTON,0
HERSHEY,0
HILTON WORLDWIDE HOLDINGS,0
HOLLYFRONTIER,0
HUNTSMAN,0
ILLINOIS TOOL WORKS,0
JACOBS ENGINEERING GROUP,0
KEURIG DR PEPPER,0
KRAFT HEINZ,0
L3HARRIS TECHNOLOGIES,0
LEIDOS HOLDINGS,0
LOCKHEED MARTIN,0
LOEWS,0
MARATHON PETROLEUM,0
MARRIOTT INTERNATIONAL,0
MASCO,0
MGM RESORTS INTERNATIONAL,0
MOTOROLA SOLUTIONS,0
NORFOLK SOUTHERN,0
NORTHROP GRUMMAN,0
NRG ENERGY,0
NUCOR,0
OLIN,0
ONEOK,0
OSHKOSH,0
OWENS CORNING,0
PEABODY ENERGY,0
PG&E,0
PHILLIPS 66,0
POLARIS INC,0
PPL,0
PROCTER & GAMBLE,0
PUBLIC SERVICE ENTERPRISE GROUP,0
RAYTHEON,0
SEMPRA ENERGY,0
SHERWIN-WILLIAMS,0
SOUTHERN,0
SOUTHWEST AIRLINES,0
TENET HEALTHCARE,0
TESLA,0
TEXTRON,0
THERMO FISHER SCIENTIFIC,0
UNION PACIFIC,0
UNITED AIRLINES HOLDINGS,0
UNITED PARCEL SERVICE,0
UNITED TECHNOLOGIES,0
VALERO ENERGY,0
VF,0
WASTE MANAGEMENT,0
WESTROCK,0
WEYERHAEUSER,0
WHIRLPOOL,0
XCEL ENERGY,0
ADOBE,1
ADP,1
ADVANCED MICRO DEVICES,1
AFLAC,1
ALPHABET,1
AMAZON,1
AMERICAN TOWER,1
APPLE,1
ARTHUR J. GALLAGHER,1
AT&T,1
BAXTER INTERNATIONAL,1
BOSTON SCIENTIFIC,1
BROADCOM,1
CAMPBELL SOUP,1
CAPITAL ONE FINANCIAL,1
CARDINAL HEALTH,1
CBS,1
CHARTER COMMUNICATIONS,1
CISCO SYSTEMS,1
COCA-COLA,1
COGNIZANT TECHNOLOGY SOLUTIONS,1
COMCAST,1
CUMMINS,1
DEAN FOODS,1
DELL TECHNOLOGIES,1
DISH NETWORK,1
ENTERPRISE PRODUCTS PARTNERS,1
FACEBOOK,1
FOX CORP,1
GAP,1
GENERAL MILLS,1
GENERAL MOTORS,1
HARLEY-DAVIDSON,1
HEWLETT PACKARD ENTERPRISE,1
HOME DEPOT,1
HP,1
IBM,1
IHEARTMEDIA,1
INTEL,1
INTUIT,1
JETBLUE AIRWAYS,1
KIMBERLY-CLARK,1
KROGER,1
LAS VEGAS SANDS,1
LIBERTY MEDIA,1
LOWE'S,1
LUMEN TECHNOLOGIES,1
MCDONALD'S,1
MCKESSON,1
MICRON TECHNOLOGY,1
MICROSOFT,1
NAVIENT,1
NEWS CORP.,1
NIKE,1
ORACLE,1
PEPSICO,1
QUALCOMM,1
QURATE RETAIL,1
SALESFORCE,1
STANLEY BLACK & DECKER,1
SYSCO,1
TARGET,1
TENNECO,1
TEXAS INSTRUMENTS,1
VERIZON,1
WALT DISNEY,1
WESTERN DIGITAL,1
WINDSTREAM HOLDINGS,1
YUM BRANDS,1
AIG,2
ALLSTATE,2
ALLY FINANCIAL,2
ALTRIA GROUP,2
AMERICAN EXPRESS,2
AMERICAN FAMILY INSURANCE GROUP,2
AMERIPRISE FINANCIAL,2
ASSURANT,2
BANK OF AMERICA,2
BANK OF NEW YORK MELLON,2
BLACKROCK,2
BRIGHTHOUSE FINANCIAL,2
CHARLES SCHWAB,2
CITIZENS FINANCIAL GROUP,2
CONSTELLATION BRANDS,2
DISCOVER FINANCIAL SERVICES,2
FIFTH THIRD BANCORP,2
FORD,2
HARTFORD FINANCIAL SERVICES,2
JPMORGAN CHASE & CO.,2
KELLOGG,2
KEYCORP,2
LAND O'LAKES,2
LIBERTY MUTUAL INSURANCE GROUP,2
LINCOLN NATIONAL,2
MARSH & MCLENNAN,2
MORGAN STANLEY,2
NCR,2
NEW YORK LIFE INSURANCE,2
NORTHERN TRUST,2
NORTHWESTERN MUTUAL,2
PHILIP MORRIS INTERNATIONAL,2
PNC FINANCIAL SERVICES,2
PRINCIPAL FINANCIAL,2
PRUDENTIAL FINANCIAL,2
PUBLIX SUPER MARKETS,2
REGIONS FINANCIAL,2
STATE FARM INSURANCE,2
STATE STREET CORP.,2
SYNCHRONY FINANCIAL,2
TIAA,2
TRAVELERS,2
U.S. BANCORP,2
USAA,2
VISA,2
WELLS FARGO,2
XEROX,2
YUM CHINA HOLDINGS,2
ABBOTT LABORATORIES,3
AMERISOURCEBERGEN,3
AMGEN,3
BECTON DICKINSON,3
BIOGEN,3
BLACKSTONE GROUP,3
BRISTOL-MYERS SQUIBB,3
CENTENE,3
CIGNA,3
CLOROX,3
CVS HEALTH,3
DANAHER,3
ECOLAB,3
ELI LILLY,3
ESTEE LAUDER,3
GILEAD SCIENCES,3
HCA HEALTHCARE,3
HUMANA,3
JOHNSON & JOHNSON,3
LABORATORY CORP. OF AMERICA,3
MAGELLAN HEALTH,3
MERCK,3
MOLINA HEALTHCARE,3
MUTUAL OF OMAHA INSURANCE,3
NAVISTAR INTERNATIONAL,3
QUEST DIAGNOSTICS,3
REGENERON PHARMACEUTICALS,3
RYDER SYSTEM,3
STARBUCKS,3
WALGREENS BOOTS ALLIANCE,3
WALMART,3
ZIMMER BIOMET HOLDINGS,3
ABBVIE,4
APPLIED MATERIALS,4
ARCONIC,4
BEST BUY,4
BORGWARNER,4
CATERPILLAR,4
CHS,4
CITIGROUP,4
COSTCO,4
DEERE,4
GENERAL ELECTRIC,4
GENWORTH FINANCIAL,4
GOLDMAN SACHS GROUP,4
HONEYWELL INTERNATIONAL,4
INTERNATIONAL PAPER,4
MASSACHUSETTS MUTUAL LIFE INSURANCE,4
METLIFE,4
MOLSON COORS BEVERAGE,4
NATIONWIDE,4
NEXTERA ENERGY,4
OWENS & MINOR,4
OWENS-ILLINOIS,4
PPG INDUSTRIES,4
RITE AID,4
S&P GLOBAL,4
W.R. BERKLEY,4
WESCO INTERNATIONAL,4
WESTERN UNION,4
EBAY,5
LIVE NATION ENTERTAINMENT,5
