fortune_name,community_rbo
AFLAC,0
ALPHABET,0
AMAZON,0
APPLE,0
ARTHUR J. GALLAGHER,0
AT&T,0
BAXTER INTERNATIONAL,0
BOSTON SCIENTIFIC,0
CAMPBELL SOUP,0
CAPITAL ONE FINANCIAL,0
CARDINAL HEALTH,0
CBS,0
CHARTER COMMUNICATIONS,0
CISCO SYSTEMS,0
COGNIZANT TECHNOLOGY SOLUTIONS,0
COMCAST,0
CUMMINS,0
DELL TECHNOLOGIES,0
FOX CORP,0
GAP,0
GENERAL MILLS,0
GENERAL MOTORS,0
HARLEY-DAVIDSON,0
HEWLETT PACKARD ENTERPRISE,0
HONEYWELL INTERNATIONAL,0
HP,0
IBM,0
IHEARTMEDIA,0
INTEL,0
INTUIT,0
JETBLUE AIRWAYS,0
KRAFT HEINZ,0
LAS VEGAS SANDS,0
LIBERTY MEDIA,0
LUMEN TECHNOLOGIES,0
MCKESSON,0
MGM RESORTS INTERNATIONAL,0
MICRON TECHNOLOGY,0
MICROSOFT,0
NAVIENT,0
NIKE,0
ORACLE,0
PRINCIPAL FINANCIAL,0
QUALCOMM,0
QURATE RETAIL,0
SALESFORCE,0
STANLEY BLACK & DECKER,0
TEXAS INSTRUMENTS,0
VALERO ENERGY,0
VERIZON,0
WINDSTREAM HOLDINGS,0
ADVANCED MICRO DEVICES,1
AECOM,1
AIR PRODUCTS & CHEMICALS,1
ALASKA AIR GROUP,1
AMERICAN AIRLINES GROUP,1
ARAMARK,1
ARCONIC,1
BALL,1
BERKSHIRE HATHAWAY,1
BOOZ ALLEN HAMILTON,1
CHEMOURS,1
CHEVRON,1
CORNING,1
CSX,1
DAVITA,1
DELTA AIR LINES,1
DISH NETWORK,1
EMERSON ELECTRIC,1
FEDEX,1
FLUOR,1
GENERAL DYNAMICS,1
GRAPHIC PACKAGING HOLDING,1
HOLLYFRONTIER,1
ILLINOIS TOOL WORKS,1
INTERNATIONAL PAPER,1
JACOBS ENGINEERING GROUP,1
L3HARRIS TECHNOLOGIES,1
LEIDOS HOLDINGS,1
LOCKHEED MARTIN,1
MASCO,1
NORFOLK SOUTHERN,1
NORTHROP GRUMMAN,1
NUCOR,1
OSHKOSH,1
POLARIS INC,1
PROCTER & GAMBLE,1
RAYTHEON,1
SHERWIN-WILLIAMS,1
SOUTHWEST AIRLINES,1
TEXTRON,1
UNION PACIFIC,1
UNITED AIRLINES HOLDINGS,1
UNITED PARCEL SERVICE,1
UNITED TECHNOLOGIES,1
VF,1
WESTERN DIGITAL,1
WESTROCK,1
WEYERHAEUSER,1
WHIRLPOOL,1
3M,2
ABBOTT LABORATORIES,2
AMERISOURCEBERGEN,2
AMGEN,2
BECTON DICKINSON,2
BIOGEN,2
BLACKSTONE GROUP,2
BOEING,2
BRISTOL-MYERS SQUIBB,2
CENTENE,2
CIGNA,2
CLOROX,2
CONOCOPHILLIPS,2
CVS HEALTH,2
DANAHER,2
EBAY,2
ECOLAB,2
ELI LILLY,2
GILEAD SCIENCES,2
HCA HEALTHCARE,2
HUMANA,2
JOHNSON & JOHNSON,2
LABORATORY CORP. OF AMERICA,2
LIVE NATION ENTERTAINMENT,2
MAGELLAN HEALTH,2
MERCK,2
MOLINA HEALTHCARE,2
MUTUAL OF OMAHA INSURANCE,2
NAVISTAR INTERNATIONAL,2
QUEST DIAGNOSTICS,2
REGENERON PHARMACEUTICALS,2
RITE AID,2
TARGET,2
THERMO FISHER SCIENTIFIC,2
WALGREENS BOOTS ALLIANCE,2
WALMART,2
WALT DISNEY,2
ZIMMER BIOMET HOLDINGS,2
ABM INDUSTRIES,3
AES,3
AMEREN,3
AMERICAN ELECTRIC POWER,3
CELANESE,3
CENTERPOINT ENERGY,3
CMS ENERGY,3
CONSOLIDATED EDISON,3
DOMINION ENERGY,3
DTE ENERGY,3
DUKE ENERGY,3
DUPONT DE NEMOURS,3
EDISON INTERNATIONAL,3
ENERGY TRANSFER,3
ENTERGY,3
EVERSOURCE ENERGY,3
EXELON,3
EXXONMOBIL,3
FIRSTENERGY,3
FORD,3
HERSHEY,3
HILTON WORLDWIDE HOLDINGS,3
LOEWS,3
MARATHON PETROLEUM,3
MARRIOTT INTERNATIONAL,3
MOTOROLA SOLUTIONS,3
ONEOK,3
PEABODY ENERGY,3
PG&E,3
PHILLIPS 66,3
PPL,3
PUBLIC SERVICE ENTERPRISE GROUP,3
SEMPRA ENERGY,3
SOUTHERN,3
TENET HEALTHCARE,3
TESLA,3
XCEL ENERGY,3
AIG,4
ALLSTATE,4
ALLY FINANCIAL,4
AMERICAN EXPRESS,4
AMERICAN FAMILY INSURANCE GROUP,4
ASSURANT,4
BANK OF AMERICA,4
BANK OF NEW YORK MELLON,4
BLACKROCK,4
CHARLES SCHWAB,4
CITIZENS FINANCIAL GROUP,4
CONSTELLATION BRANDS,4
DISCOVER FINANCIAL SERVICES,4
FIFTH THIRD BANCORP,4
JPMORGAN CHASE & CO.,4
KELLOGG,4
KEYCORP,4
LIBERTY MUTUAL INSURANCE GROUP,4
MARSH & MCLENNAN,4
NEW YORK LIFE INSURANCE,4
NORTHERN TRUST,4
NORTHWESTERN MUTUAL,4
PNC FINANCIAL SERVICES,4
REGIONS FINANCIAL,4
STATE FARM INSURANCE,4
STATE STREET CORP.,4
SYNCHRONY FINANCIAL,4
TIAA,4
TRAVELERS,4
U.S. BANCORP,4
USAA,4
VISA,4
WELLS FARGO,4
XEROX,4
ABBVIE,5
AMERIPRISE FINANCIAL,5
APPLIED MATERIALS,5
BEST BUY,5
BORGWARNER,5
CATERPILLAR,5
CHS,5
CITIGROUP,5
COSTCO,5
DEERE,5
FACEBOOK,5
GENERAL ELECTRIC,5
GENWORTH FINANCIAL,5
GOLDMAN SACHS GROUP,5
HARTFORD FINANCIAL SERVICES,5
HUNTSMAN,5
LINCOLN NATIONAL,5
MASSACHUSETTS MUTUAL LIFE INSURANCE,5
METLIFE,5
MOLSON COORS BEVERAGE,5
NATIONWIDE,5
NEXTERA ENERGY,5
OWENS CORNING,5
OWENS-ILLINOIS,5
PPG INDUSTRIES,5
PRUDENTIAL FINANCIAL,5
PUBLIX SUPER MARKETS,5
S&P GLOBAL,5
W.R. BERKLEY,5
WESCO INTERNATIONAL,5
WESTERN UNION,5
ADP,6
ALTRIA GROUP,6
COCA-COLA,6
DEAN FOODS,6
HOME DEPOT,6
KIMBERLY-CLARK,6
KROGER,6
LOWE'S,6
MCDONALD'S,6
PEPSICO,6
SYSCO,6
YUM BRANDS,6
KEURIG DR PEPPER,7
WASTE MANAGEMENT,7
