row_idx,bill_number
0,H.1
1,H.CON.RES.20
2,H.CON.RES.23
3,H.CON.RES.55
4,H.J.RES.1
5,H.J.RES.107
6,H.J.RES.110
7,H.J.RES.111
8,H.J.RES.21
9,H.J.RES.28
10,H.J.RES.30
11,H.J.RES.31
12,H.J.RES.36
13,H.R.0000
14,H.R.1
15,H.R.10
16,H.R.1004
17,H.R.1006
18,H.R.1007
19,H.R.1008
20,H.R.1010
21,H.R.1017
22,H.R.1018
23,H.R.1025
24,H.R.1027
25,H.R.1029
26,H.R.1034
27,H.R.1035
28,H.R.1038
29,H.R.1043
30,H.R.1044
31,H.R.1046
32,H.R.1062
33,H.R.107
34,H.R.1079
35,H.R.1084
36,H.R.1093
37,H.R.1096
38,H.R.11
39,H.R.1101
40,H.R.1108
41,H.R.113
42,H.R.1149
43,H.R.1158
44,H.R.1159
45,H.R.1166
46,H.R.1171
47,H.R.1175
48,H.R.1185
49,H.R.1188
50,H.R.1194
51,H.R.1220
52,H.R.1224
53,H.R.1225
54,H.R.1226
55,H.R.1244
56,H.R.1245
57,H.R.1249
58,H.R.1251
59,H.R.1279
60,H.R.1282
61,H.R.1283
62,H.R.1289
63,H.R.1301
64,H.R.1303
65,H.R.1304
66,H.R.1314
67,H.R.1315
68,H.R.1316
69,H.R.1323
70,H.R.1326
71,H.R.1327
72,H.R.133
73,H.R.1332
74,H.R.1344
75,H.R.1346
76,H.R.135
77,H.R.1355
78,H.R.1361
79,H.R.1364
80,H.R.1374
81,H.R.1375
82,H.R.1384
83,H.R.1385
84,H.R.1386
85,H.R.1395
86,H.R.1398
87,H.R.1406
88,H.R.1409
89,H.R.1414
90,H.R.1417
91,H.R.1418
92,H.R.1420
93,H.R.1422
94,H.R.1423
95,H.R.1425
96,H.R.1426
97,H.R.1427
98,H.R.1439
99,H.R.144
100,H.R.1443
101,H.R.1452
102,H.R.1471
103,H.R.1475
104,H.R.1478
105,H.R.1485
106,H.R.1497
107,H.R.1498
108,H.R.1499
109,H.R.15
110,H.R.1500
111,H.R.1502
112,H.R.1503
113,H.R.1506
114,H.R.1509
115,H.R.1511
116,H.R.1516
117,H.R.1520
118,H.R.1543
119,H.R.1544
120,H.R.1549
121,H.R.1555
122,H.R.1558
123,H.R.1559
124,H.R.1565
125,H.R.1567
126,H.R.1575
127,H.R.1585
128,H.R.1592
129,H.R.1595
130,H.R.1602
131,H.R.1603
132,H.R.1607
133,H.R.1614
134,H.R.1618
135,H.R.1625
136,H.R.1628
137,H.R.1642
138,H.R.1643
139,H.R.1644
140,H.R.1666
141,H.R.1668
142,H.R.1675
143,H.R.1679
144,H.R.1680
145,H.R.1685
146,H.R.1686
147,H.R.1690
148,H.R.1693
149,H.R.1699
150,H.R.1706
151,H.R.1707
152,H.R.1711
153,H.R.1712
154,H.R.172
155,H.R.1725
156,H.R.1730
157,H.R.1731
158,H.R.1740
159,H.R.1742
160,H.R.1743
161,H.R.1744
162,H.R.1748
163,H.R.1752
164,H.R.1756
165,H.R.1760
166,H.R.1765
167,H.R.1766
168,H.R.1768
169,H.R.1769
170,H.R.1781
171,H.R.1783
172,H.R.1788
173,H.R.1789
174,H.R.179
175,H.R.1796
176,H.R.1815
177,H.R.1818
178,H.R.1832
179,H.R.1834
180,H.R.1836
181,H.R.1839
182,H.R.1845
183,H.R.1846
184,H.R.1850
185,H.R.1854
186,H.R.1860
187,H.R.1862
188,H.R.1863
189,H.R.1865
190,H.R.1869
191,H.R.1872
192,H.R.1874
193,H.R.1876
194,H.R.1879
195,H.R.1882
196,H.R.1890
197,H.R.1897
198,H.R.19
199,H.R.1907
200,H.R.1910
201,H.R.1922
202,H.R.1938
203,H.R.1939
204,H.R.1940
205,H.R.1941
206,H.R.1947
207,H.R.1948
208,H.R.195
209,H.R.1954
210,H.R.1956
211,H.R.1957
212,H.R.1959
213,H.R.1960
214,H.R.1961
215,H.R.1962
216,H.R.1966
217,H.R.1975
218,H.R.1976
219,H.R.1993
220,H.R.1994
221,H.R.1996
222,H.R.2
223,H.R.2000
224,H.R.2005
225,H.R.2007
226,H.R.2009
227,H.R.2011
228,H.R.2013
229,H.R.2014
230,H.R.2015
231,H.R.2028
232,H.R.2030
233,H.R.2038
234,H.R.2040
235,H.R.2042
236,H.R.2043
237,H.R.2044
238,H.R.205
239,H.R.2054
240,H.R.2062
241,H.R.2063
242,H.R.2064
243,H.R.2069
244,H.R.2070
245,H.R.2074
246,H.R.2084
247,H.R.2087
248,H.R.2093
249,H.R.2096
250,H.R.21
251,H.R.2102
252,H.R.2111
253,H.R.2113
254,H.R.2114
255,H.R.2115
256,H.R.2117
257,H.R.2119
258,H.R.2120
259,H.R.2135
260,H.R.2139
261,H.R.2143
262,H.R.2144
263,H.R.2157
264,H.R.2163
265,H.R.2164
266,H.R.2170
267,H.R.2181
268,H.R.2187
269,H.R.2193
270,H.R.2195
271,H.R.22
272,H.R.2202
273,H.R.2204
274,H.R.2207
275,H.R.2208
276,H.R.2209
277,H.R.2213
278,H.R.2218
279,H.R.2220
280,H.R.2227
281,H.R.223
282,H.R.224
283,H.R.2250
284,H.R.2256
285,H.R.2261
286,H.R.2266
287,H.R.2267
288,H.R.2268
289,H.R.2279
290,H.R.2296
291,H.R.2314
292,H.R.2318
293,H.R.2328
294,H.R.2329
295,H.R.2337
296,H.R.2339
297,H.R.2348
298,H.R.2353
299,H.R.2355
300,H.R.2367
301,H.R.2369
302,H.R.2374
303,H.R.2375
304,H.R.2376
305,H.R.2377
306,H.R.2381
307,H.R.2382
308,H.R.2386
309,H.R.2387
310,H.R.2397
311,H.R.2411
312,H.R.2416
313,H.R.2426
314,H.R.2440
315,H.R.2445
316,H.R.2447
317,H.R.2449
318,H.R.2452
319,H.R.2453
320,H.R.2463
321,H.R.2472
322,H.R.2474
323,H.R.2477
324,H.R.2479
325,H.R.2500
326,H.R.251
327,H.R.2513
328,H.R.2514
329,H.R.2533
330,H.R.2534
331,H.R.2539
332,H.R.2540
333,H.R.2556
334,H.R.2566
335,H.R.2570
336,H.R.2572
337,H.R.2575
338,H.R.2577
339,H.R.2578
340,H.R.2584
341,H.R.2587
342,H.R.2588
343,H.R.259
344,H.R.2591
345,H.R.2592
346,H.R.2596
347,H.R.2597
348,H.R.2600
349,H.R.2605
350,H.R.2608
351,H.R.2610
352,H.R.2616
353,H.R.2622
354,H.R.2626
355,H.R.2636
356,H.R.2638
357,H.R.264
358,H.R.2642
359,H.R.2644
360,H.R.265
361,H.R.2650
362,H.R.266
363,H.R.2664
364,H.R.267
365,H.R.268
366,H.R.2682
367,H.R.2683
368,H.R.2684
369,H.R.269
370,H.R.2692
371,H.R.2693
372,H.R.2694
373,H.R.2698
374,H.R.2699
375,H.R.2700
376,H.R.2704
377,H.R.2710
378,H.R.2711
379,H.R.2712
380,H.R.2722
381,H.R.2723
382,H.R.2739
383,H.R.2740
384,H.R.2741
385,H.R.2745
386,H.R.275
387,H.R.2760
388,H.R.2771
389,H.R.2772
390,H.R.2800
391,H.R.2818
392,H.R.2820
393,H.R.2827
394,H.R.2839
395,H.R.2868
396,H.R.2869
397,H.R.287
398,H.R.2874
399,H.R.2875
400,H.R.2881
401,H.R.2896
402,H.R.2899
403,H.R.2906
404,H.R.292
405,H.R.2923
406,H.R.293
407,H.R.2946
408,H.R.2956
409,H.R.2960
410,H.R.2968
411,H.R.2985
412,H.R.2986
413,H.R.2995
414,H.R.2997
415,H.R.3
416,H.R.3002
417,H.R.3006
418,H.R.3011
419,H.R.302
420,H.R.3031
421,H.R.3052
422,H.R.3055
423,H.R.3062
424,H.R.3077
425,H.R.3078
426,H.R.3079
427,H.R.3100
428,H.R.3102
429,H.R.3107
430,H.R.3111
431,H.R.3125
432,H.R.3127
433,H.R.3128
434,H.R.3129
435,H.R.3136
436,H.R.3145
437,H.R.3146
438,H.R.3151
439,H.R.3156
440,H.R.3162
441,H.R.3163
442,H.R.3164
443,H.R.3167
444,H.R.3180
445,H.R.3182
446,H.R.3195
447,H.R.3197
448,H.R.3199
449,H.R.3223
450,H.R.3224
451,H.R.3225
452,H.R.3226
453,H.R.3235
454,H.R.3240
455,H.R.3248
456,H.R.3249
457,H.R.3253
458,H.R.3255
459,H.R.3256
460,H.R.3258
461,H.R.3264
462,H.R.3266
463,H.R.3279
464,H.R.330
465,H.R.3300
466,H.R.3301
467,H.R.3306
468,H.R.331
469,H.R.3318
470,H.R.3325
471,H.R.3327
472,H.R.3351
473,H.R.3352
474,H.R.3353
475,H.R.3355
476,H.R.3361
477,H.R.3371
478,H.R.3375
479,H.R.3388
480,H.R.34
481,H.R.3401
482,H.R.3407
483,H.R.3408
484,H.R.3409
485,H.R.3417
486,H.R.342
487,H.R.3432
488,H.R.3436
489,H.R.3459
490,H.R.3461
491,H.R.3462
492,H.R.3475
493,H.R.3480
494,H.R.3481
495,H.R.3494
496,H.R.3497
497,H.R.3500
498,H.R.3502
499,H.R.3515
500,H.R.3523
501,H.R.3528
502,H.R.3548
503,H.R.3551
504,H.R.3556
505,H.R.3561
506,H.R.3564
507,H.R.358
508,H.R.3584
509,H.R.359
510,H.R.3593
511,H.R.3597
512,H.R.360
513,H.R.3600
514,H.R.3607
515,H.R.3609
516,H.R.3614
517,H.R.3616
518,H.R.362
519,H.R.3621
520,H.R.3622
521,H.R.3623
522,H.R.3624
523,H.R.3629
524,H.R.3630
525,H.R.3632
526,H.R.3633
527,H.R.3635
528,H.R.3642
529,H.R.3644
530,H.R.366
531,H.R.3666
532,H.R.367
533,H.R.3693
534,H.R.3694
535,H.R.3695
536,H.R.3699
537,H.R.370
538,H.R.3705
539,H.R.3708
540,H.R.3710
541,H.R.3719
542,H.R.3742
543,H.R.3746
544,H.R.3763
545,H.R.3772
546,H.R.3773
547,H.R.3781
548,H.R.3791
549,H.R.3794
550,H.R.3797
551,H.R.380
552,H.R.3806
553,H.R.3811
554,H.R.3819
555,H.R.3828
556,H.R.3836
557,H.R.3851
558,H.R.3857
559,H.R.3861
560,H.R.3872
561,H.R.3877
562,H.R.3884
563,H.R.3888
564,H.R.3890
565,H.R.3896
566,H.R.3900
567,H.R.3912
568,H.R.3915
569,H.R.392
570,H.R.3931
571,H.R.3941
572,H.R.3942
573,H.R.3943
574,H.R.395
575,H.R.3951
576,H.R.3956
577,H.R.3957
578,H.R.3960
579,H.R.3961
580,H.R.3969
581,H.R.397
582,H.R.3975
583,H.R.3991
584,H.R.3994
585,H.R.3999
586,H.R.4
587,H.R.4002
588,H.R.4004
589,H.R.4007
590,H.R.4015
591,H.R.4024
592,H.R.4027
593,H.R.4035
594,H.R.4037
595,H.R.4047
596,H.R.4048
597,H.R.4049
598,H.R.4051
599,H.R.4054
600,H.R.4066
601,H.R.4074
602,H.R.4075
603,H.R.4100
604,H.R.4106
605,H.R.4117
606,H.R.4119
607,H.R.4127
608,H.R.4128
609,H.R.4149
610,H.R.4164
611,H.R.4170
612,H.R.4171
613,H.R.4173
614,H.R.4179
615,H.R.4194
616,H.R.4217
617,H.R.4219
618,H.R.4223
619,H.R.4225
620,H.R.4227
621,H.R.4229
622,H.R.4230
623,H.R.4232
624,H.R.4234
625,H.R.4242
626,H.R.427
627,H.R.428
628,H.R.4296
629,H.R.4299
630,H.R.4306
631,H.R.431
632,H.R.4311
633,H.R.4320
634,H.R.4322
635,H.R.4329
636,H.R.4335
637,H.R.4337
638,H.R.4344
639,H.R.4347
640,H.R.4354
641,H.R.4374
642,H.R.4378
643,H.R.4385
644,H.R.4393
645,H.R.4398
646,H.R.4421
647,H.R.4425
648,H.R.4447
649,H.R.4455
650,H.R.4456
651,H.R.4459
652,H.R.4461
653,H.R.4462
654,H.R.4463
655,H.R.447
656,H.R.4476
657,H.R.4486
658,H.R.4487
659,H.R.4489
660,H.R.4492
661,H.R.4498
662,H.R.4500
663,H.R.4501
664,H.R.4506
665,H.R.4508
666,H.R.4509
667,H.R.451
668,H.R.4520
669,H.R.4521
670,H.R.4523
671,H.R.4537
672,H.R.454
673,H.R.4547
674,H.R.4549
675,H.R.4564
676,H.R.4565
677,H.R.4585
678,H.R.4592
679,H.R.4597
680,H.R.4604
681,H.R.4605
682,H.R.4610
683,H.R.4621
684,H.R.4624
685,H.R.4629
686,H.R.4634
687,H.R.4641
688,H.R.4642
689,H.R.4649
690,H.R.4674
691,H.R.4686
692,H.R.469
693,H.R.4690
694,H.R.4692
695,H.R.4695
696,H.R.4697
697,H.R.470
698,H.R.4700
699,H.R.4708
700,H.R.4709
701,H.R.471
702,H.R.4710
703,H.R.472
704,H.R.4742
705,H.R.4745
706,H.R.4752
707,H.R.4761
708,H.R.4779
709,H.R.478
710,H.R.4790
711,H.R.4796
712,H.R.4813
713,H.R.4841
714,H.R.4849
715,H.R.4855
716,H.R.4856
717,H.R.4863
718,H.R.4866
719,H.R.4871
720,H.R.4881
721,H.R.4884
722,H.R.4885
723,H.R.4895
724,H.R.4897
725,H.R.490
726,H.R.4910
727,H.R.4945
728,H.R.4953
729,H.R.4978
730,H.R.4982
731,H.R.4996
732,H.R.4998
733,H.R.5
734,H.R.5000
735,H.R.5035
736,H.R.5050
737,H.R.5055
738,H.R.5057
739,H.R.5076
740,H.R.5084
741,H.R.5089
742,H.R.5091
743,H.R.510
744,H.R.511
745,H.R.5111
746,H.R.5115
747,H.R.5116
748,H.R.5118
749,H.R.5119
750,H.R.5120
751,H.R.5125
752,H.R.5133
753,H.R.5138
754,H.R.5139
755,H.R.514
756,H.R.5140
757,H.R.5161
758,H.R.5165
759,H.R.5170
760,H.R.5175
761,H.R.518
762,H.R.5180
763,H.R.5184
764,H.R.5195
765,H.R.5197
766,H.R.5199
767,H.R.520
768,H.R.5209
769,H.R.5219
770,H.R.5221
771,H.R.5234
772,H.R.5238
773,H.R.5240
774,H.R.5243
775,H.R.5256
776,H.R.5258
777,H.R.5260
778,H.R.5270
779,H.R.5273
780,H.R.5279
781,H.R.5292
782,H.R.5296
783,H.R.5297
784,H.R.530
785,H.R.5306
786,H.R.5309
787,H.R.5314
788,H.R.5318
789,H.R.5322
790,H.R.5331
791,H.R.5332
792,H.R.5333
793,H.R.5336
794,H.R.535
795,H.R.5374
796,H.R.5376
797,H.R.5381
798,H.R.5393
799,H.R.5409
800,H.R.5415
801,H.R.5427
802,H.R.5428
803,H.R.543
804,H.R.5430
805,H.R.5435
806,H.R.5447
807,H.R.5450
808,H.R.5454
809,H.R.547
810,H.R.5470
811,H.R.5480
812,H.R.5494
813,H.R.55
814,H.R.5515
815,H.R.5518
816,H.R.5523
817,H.R.5527
818,H.R.5530
819,H.R.5534
820,H.R.5542
821,H.R.5544
822,H.R.5545
823,H.R.5552
824,H.R.5553
825,H.R.5561
826,H.R.5564
827,H.R.5567
828,H.R.5570
829,H.R.5573
830,H.R.5596
831,H.R.56
832,H.R.5607
833,H.R.5608
834,H.R.5619
835,H.R.5640
836,H.R.5659
837,H.R.5663
838,H.R.5666
839,H.R.5674
840,H.R.5676
841,H.R.5680
842,H.R.5685
843,H.R.5701
844,H.R.5703
845,H.R.5718
846,H.R.5721
847,H.R.5726
848,H.R.5758
849,H.R.5760
850,H.R.5776
851,H.R.5783
852,H.R.5800
853,H.R.5815
854,H.R.582
855,H.R.5823
856,H.R.5826
857,H.R.5827
858,H.R.583
859,H.R.5833
860,H.R.584
861,H.R.5841
862,H.R.5845
863,H.R.5850
864,H.R.5858
865,H.R.5859
866,H.R.5877
867,H.R.5881
868,H.R.5894
869,H.R.5895
870,H.R.5901
871,H.R.5906
872,H.R.5908
873,H.R.5911
874,H.R.5918
875,H.R.592
876,H.R.5926
877,H.R.5928
878,H.R.5929
879,H.R.5930
880,H.R.5933
881,H.R.5952
882,H.R.5958
883,H.R.596
884,H.R.5963
885,H.R.5974
886,H.R.5982
887,H.R.5983
888,H.R.5991
889,H.R.6
890,H.R.6000
891,H.R.6021
892,H.R.6049
893,H.R.6058
894,H.R.6062
895,H.R.6066
896,H.R.6072
897,H.R.6074
898,H.R.6080
899,H.R.6096
900,H.R.6097
901,H.R.6102
902,H.R.6128
903,H.R.6136
904,H.R.6142
905,H.R.6157
906,H.R.6160
907,H.R.6179
908,H.R.618
909,H.R.6190
910,H.R.6196
911,H.R.6197
912,H.R.6199
913,H.R.6201
914,H.R.6207
915,H.R.6210
916,H.R.6216
917,H.R.6218
918,H.R.6223
919,H.R.6224
920,H.R.6225
921,H.R.6226
922,H.R.6227
923,H.R.6235
924,H.R.6237
925,H.R.624
926,H.R.6256
927,H.R.6257
928,H.R.6274
929,H.R.6276
930,H.R.6284
931,H.R.6295
932,H.R.6321
933,H.R.6338
934,H.R.6339
935,H.R.6359
936,H.R.6364
937,H.R.6371
938,H.R.6378
939,H.R.6379
940,H.R.6383
941,H.R.6385
942,H.R.6388
943,H.R.6393
944,H.R.6394
945,H.R.6395
946,H.R.6396
947,H.R.6397
948,H.R.6399
949,H.R.641
950,H.R.6431
951,H.R.6435
952,H.R.6443
953,H.R.6456
954,H.R.6457
955,H.R.6474
956,H.R.648
957,H.R.6482
958,H.R.6488
959,H.R.6491
960,H.R.6494
961,H.R.6495
962,H.R.6497
963,H.R.6505
964,H.R.6514
965,H.R.6531
966,H.R.6561
967,H.R.6562
968,H.R.6563
969,H.R.6566
970,H.R.6573
971,H.R.6580
972,H.R.6600
973,H.R.6606
974,H.R.6624
975,H.R.6637
976,H.R.6644
977,H.R.6661
978,H.R.6670
979,H.R.6675
980,H.R.6688
981,H.R.6690
982,H.R.6700
983,H.R.6704
984,H.R.6708
985,H.R.6723
986,H.R.6732
987,H.R.6743
988,H.R.6747
989,H.R.675
990,H.R.6757
991,H.R.6776
992,H.R.6783
993,H.R.6789
994,H.R.680
995,H.R.6800
996,H.R.6802
997,H.R.6810
998,H.R.6814
999,H.R.6816
1000,H.R.6821
1001,H.R.6824
1002,H.R.6844
1003,H.R.6866
1004,H.R.6880
1005,H.R.6881
1006,H.R.6886
1007,H.R.690
1008,H.R.6910
1009,H.R.6913
1010,H.R.6930
1011,H.R.695
1012,H.R.6952
1013,H.R.6958
1014,H.R.6965
1015,H.R.6978
1016,H.R.6982
1017,H.R.6983
1018,H.R.6989
1019,H.R.6994
1020,H.R.6995
1021,H.R.7000
1022,H.R.7008
1023,H.R.7010
1024,H.R.7011
1025,H.R.7014
1026,H.R.7015
1027,H.R.7016
1028,H.R.7019
1029,H.R.7020
1030,H.R.7022
1031,H.R.705
1032,H.R.7058
1033,H.R.7059
1034,H.R.7065
1035,H.R.7079
1036,H.R.7092
1037,H.R.7095
1038,H.R.7096
1039,H.R.7105
1040,H.R.7120
1041,H.R.7130
1042,H.R.7141
1043,H.R.7160
1044,H.R.7172
1045,H.R.7177
1046,H.R.7178
1047,H.R.7179
1048,H.R.7182
1049,H.R.7186
1050,H.R.7188
1051,H.R.7197
1052,H.R.7205
1053,H.R.721
1054,H.R.7228
1055,H.R.7286
1056,H.R.7287
1057,H.R.7290
1058,H.R.7302
1059,H.R.7308
1060,H.R.7310
1061,H.R.7317
1062,H.R.7327
1063,H.R.7328
1064,H.R.7330
1065,H.R.7333
1066,H.R.7334
1067,H.R.7335
1068,H.R.7337
1069,H.R.7344
1070,H.R.7350
1071,H.R.7352
1072,H.R.7353
1073,H.R.7355
1074,H.R.7357
1075,H.R.7359
