client_name,community_aff
3M,0
ADOBE,0
ADVANCED MICRO DEVICES,0
AECOM,0
ALASKA AIR GROUP,0
ALPHABET,0
ALTRIA GROUP,0
AMAZON,0
AMERICAN AIRLINES GROUP,0
AMERICAN TOWER,0
APPLE,0
APPLIED MATERIALS,0
ARAMARK,0
AT&T,0
BALL,0
BOEING,0
BOOZ ALLEN HAMILTON,0
BORGWARNER,0
BROADCOM,0
CISCO SYSTEMS,0
COGNIZANT TECHNOLOGY SOLUTIONS,0
COMCAST,0
CONAGRA BRANDS,0
CORNING,0
CSX,0
DAVITA,0
DEERE,0
DELL TECHNOLOGIES,0
DELTA AIR LINES,0
DISH NETWORK,0
ENTERPRISE PRODUCTS PARTNERS,0
EXPEDIA GROUP,0
FEDEX,0
FLUOR,0
GENERAL DYNAMICS,0
GENERAL ELECTRIC,0
GENERAL MILLS,0
GOODYEAR TIRE & RUBBER,0
HEWLETT PACKARD ENTERPRISE,0
HONEYWELL INTERNATIONAL,0
HUNTINGTON INGALLS INDUSTRIES,0
HUNTSMAN,0
IBM,0
IHEARTMEDIA,0
INTEL,0
JETBLUE AIRWAYS,0
LIBERTY MEDIA,0
LKQ,0
LOCKHEED MARTIN,0
MASCO,0
MICRON TECHNOLOGY,0
MICROSOFT,0
MOTOROLA SOLUTIONS,0
NAVIENT,0
NETFLIX,0
NORFOLK SOUTHERN,0
NORTHROP GRUMMAN,0
ORACLE,0
OSHKOSH,0
OWENS & MINOR,0
POLARIS INDUSTRIES,0
PPG INDUSTRIES,0
QUALCOMM,0
QURATE RETAIL,0
RAYTHEON,0
SALESFORCE.COM,0
SOUTHWEST AIRLINES,0
TARGET,0
TEXAS INSTRUMENTS,0
TEXTRON,0
THERMO FISHER SCIENTIFIC,0
UNION PACIFIC,0
UNITED CONTINENTAL HOLDINGS,0
VERIZON,0
WESTERN DIGITAL,0
WINDSTREAM HOLDINGS,0
ALLSTATE,1
ALLY FINANCIAL,1
AMERICAN EXPRESS,1
AMERIPRISE FINANCIAL,1
ANTHEM,1
ASSURANT,1
BANK OF AMERICA,1
BLACKROCK,1
BOOKING HOLDINGS,1
CAPITAL ONE FINANCIAL,1
CBS,1
CELANESE,1
CHARLES SCHWAB,1
CITIGROUP,1
CITIZENS FINANCIAL GROUP,1
CONSTELLATION BRANDS,1
DISCOVER FINANCIAL SERVICES,1
FIFTH THIRD BANCORP,1
FORD,1
GENWORTH FINANCIAL,1
GOLDMAN SACHS GROUP,1
GUARDIAN LIFE INS. CO. OF AMERICA,1
HARLEY-DAVIDSON,1
HARTFORD FINANCIAL SERVICES,1
HILTON WORLDWIDE HOLDINGS,1
INTUIT,1
JPMORGAN CHASE & CO.,1
KEYCORP,1
KROGER,1
LAS VEGAS SANDS,1
LIBERTY MUTUAL INSURANCE GROUP,1
LOEWS,1
M&T BANK CORP.,1
MARRIOTT INTERNATIONAL,1
MARSH & MCLENNAN,1
MASSACHUSETTS MUTUAL LIFE INSURANCE,1
METLIFE,1
MORGAN STANLEY,1
NATIONWIDE,1
NEW YORK LIFE INSURANCE,1
NORTHERN TRUST,1
NORTHWESTERN MUTUAL,1
PACIFIC LIFE,1
PAYPAL HOLDINGS,1
PNC FINANCIAL SERVICES,1
PRINCIPAL FINANCIAL,1
PRUDENTIAL FINANCIAL,1
PUBLIX SUPER MARKETS,1
REGIONS FINANCIAL,1
REPUBLIC SERVICES,1
STATE FARM INSURANCE,1
STATE STREET CORP.,1
SYNCHRONY FINANCIAL,1
TIAA,1
TRAVELERS,1
TWENTY-FIRST CENTURY FOX,1
UNUM GROUP,1
USAA,1
VIACOM,1
VISA,1
VISTRA ENERGY,1
VOYA FINANCIAL,1
W.R. BERKLEY,1
WELLS FARGO,1
WESTERN UNION,1
XEROX,1
YUM BRANDS,1
YUM CHINA HOLDINGS,1
ABM INDUSTRIES,2
AES,2
AMEREN,2
AMERICAN ELECTRIC POWER,2
ANIXTER INTERNATIONAL,2
ARTHUR J. GALLAGHER,2
BERKSHIRE HATHAWAY,2
CALPINE,2
CENTERPOINT ENERGY,2
CHEMOURS,2
CHENIERE ENERGY,2
CHEVRON,2
CHS,2
CMS ENERGY,2
CONOCOPHILLIPS,2
DTE ENERGY,2
DUKE ENERGY,2
DUPONT DE NEMOURS,2
EASTMAN CHEMICAL,2
ECOLAB,2
EMERSON ELECTRIC,2
ENTERGY,2
EOG RESOURCES,2
EVERSOURCE ENERGY,2
EXELON,2
EXXONMOBIL,2
FIRSTENERGY,2
GENERAL MOTORS,2
HALLIBURTON,2
LENNAR,2
MARATHON PETROLEUM,2
MGM RESORTS INTERNATIONAL,2
MOSAIC,2
NEXTERA ENERGY,2
NRG ENERGY,2
OCCIDENTAL PETROLEUM,2
OLIN,2
ONEOK,2
OWENS CORNING,2
PEABODY ENERGY,2
PG&E,2
PHILLIPS 66,2
PPL,2
PUBLIC SERVICE ENTERPRISE GROUP,2
S&P GLOBAL,2
SEMPRA ENERGY,2
SHERWIN-WILLIAMS,2
STRYKER,2
TENNECO,2
TESLA,2
VALERO ENERGY,2
WHIRLPOOL,2
XCEL ENERGY,2
ABBOTT LABORATORIES,3
AFLAC,3
AMERISOURCEBERGEN,3
AMGEN,3
BAXTER INTERNATIONAL,3
BECTON DICKINSON,3
BIOGEN,3
BLACKSTONE GROUP,3
BOSTON SCIENTIFIC,3
BRISTOL-MYERS SQUIBB,3
CARDINAL HEALTH,3
CATERPILLAR,3
CELGENE,3
CENTENE,3
CIGNA,3
CLOROX,3
CVS HEALTH,3
ELI LILLY,3
ESTEE LAUDER,3
GILEAD SCIENCES,3
HUMANA,3
JOHNSON & JOHNSON,3
KIMBERLY-CLARK,3
LABORATORY CORP. OF AMERICA,3
MAGELLAN HEALTH,3
MCKESSON,3
MERCK,3
MOLINA HEALTHCARE,3
MUTUAL OF OMAHA INSURANCE,3
NAVISTAR INTERNATIONAL,3
PFIZER,3
QUEST DIAGNOSTICS,3
REGENERON PHARMACEUTICALS,3
RITE AID,3
RYDER SYSTEM,3
STARBUCKS,3
TENET HEALTHCARE,3
UNITED HEALTH GROUP,3
WALGREENS BOOTS ALLIANCE,3
WALMART,3
WELLCARE HEALTH PLANS,3
ZIMMER BIOMET HOLDINGS,3
AK STEEL HOLDING,4
ARCONIC,4
CAMPBELL SOUP,4
COCA-COLA,4
DEAN FOODS,4
EBAY,4
GAP,4
HERSHEY,4
HOME DEPOT,4
HORMEL FOODS,4
ILLINOIS TOOL WORKS,4
INTERNATIONAL PAPER,4
J.M. SMUCKER,4
KELLOGG,4
KEURIG DR PEPPER,4
LAND O'LAKES,4
LOWE'S,4
MARATHON OIL,4
MASTERCARD,4
MCDONALD'S,4
NCR,4
NIKE,4
NUCOR,4
PEPSICO,4
SYSCO,4
UNITED PARCEL SERVICE,4
WASTE MANAGEMENT,4
WEYERHAEUSER,4
ZOETIS,4
