client_name,community_aff,community_bc,stability,degree_aff,degree_bc,intra_edges_aff,cross_edges_aff,participation_aff,intra_edges_bc,cross_edges_bc,participation_bc
3M,0,0.0,stable,414,35.87421802754385,193.0,221.0,0.6622,17.1706,18.7036,0.6642
ABBOTT LABORATORIES,3,0.0,cross-community,110,12.076845311903863,44.0,66.0,0.6355,6.2472,5.8296,0.617
ABM INDUSTRIES,2,2.0,stable,80,1.7026294340373387,58.0,22.0,0.3987,1.1,0.6027,0.4573
ADOBE,0,0.0,stable,213,16.20609341207982,159.0,54.0,0.4007,9.3549,6.8512,0.5554
ADVANCED MICRO DEVICES,0,0.0,stable,28,2.6358992580380645,26.0,2.0,0.1327,2.0374,0.5985,0.351
AECOM,0,0.0,stable,321,28.468010926050493,210.0,111.0,0.5155,17.5373,10.9307,0.5572
AES,2,2.0,stable,127,10.054284816350993,89.0,38.0,0.455,7.7888,2.2654,0.3736
AFLAC,3,3.0,stable,60,5.71870536474367,23.0,37.0,0.7289,2.8118,2.9069,0.6408
AK STEEL HOLDING,4,4.0,stable,44,4.41125531601627,21.0,23.0,0.6312,2.6549,1.7564,0.5655
ALASKA AIR GROUP,0,0.0,stable,233,20.12263311771279,176.0,57.0,0.409,13.2356,6.887,0.5253
ALLSTATE,1,1.0,stable,292,24.026227482154066,236.0,56.0,0.3284,17.3672,6.659,0.4475
ALLY FINANCIAL,1,1.0,stable,87,9.058425222937634,56.0,31.0,0.5449,6.1523,2.9061,0.5075
ALPHABET,0,0.0,stable,133,13.278515309607393,86.0,47.0,0.5472,8.095,5.1835,0.5778
ALTRIA GROUP,0,3.0,cross-community,304,23.83621928330769,138.0,166.0,0.698,4.5874,19.2489,0.7443
AMAZON,0,0.0,stable,571,35.52201581276022,359.0,212.0,0.5649,16.0968,19.4252,0.7025
AMEREN,2,2.0,stable,301,28.61299111060603,192.0,109.0,0.5359,14.7655,13.8475,0.6302
AMERICAN AIRLINES GROUP,0,0.0,stable,371,23.925415418558913,252.0,119.0,0.5053,11.8801,12.0453,0.6662
AMERICAN ELECTRIC POWER,2,2.0,stable,441,19.839218874021896,396.0,45.0,0.1885,15.0252,4.814,0.3984
AMERICAN EXPRESS,1,1.0,stable,155,20.621096218673426,73.0,82.0,0.6799,9.2292,11.3919,0.7029
AMERICAN TOWER,0,0.0,stable,78,8.521460842132562,46.0,32.0,0.5523,4.414,4.1074,0.6108
AMERIPRISE FINANCIAL,1,1.0,stable,518,37.13159452722486,340.0,178.0,0.533,17.3942,19.7374,0.6907
AMERISOURCEBERGEN,3,3.0,stable,50,5.007813350499593,29.0,21.0,0.5632,2.3763,2.6315,0.6072
AMGEN,3,3.0,stable,327,21.87947798721488,235.0,92.0,0.4499,11.4979,10.3816,0.6383
ANIXTER INTERNATIONAL,2,2.0,stable,329,25.03540803213537,160.0,169.0,0.5992,11.4505,13.5849,0.6202
ANTHEM,1,3.0,cross-community,6,0.6266525488183265,4.0,2.0,0.4444,0.3487,0.2779,0.4936
APPLE,0,0.0,stable,90,9.739759941993322,62.0,28.0,0.4896,6.2494,3.4904,0.5496
APPLIED MATERIALS,0,0.0,stable,261,26.06440993181754,163.0,98.0,0.5481,14.0279,12.0365,0.6084
ARAMARK,0,3.0,cross-community,50,4.086629408230409,27.0,23.0,0.6352,1.1956,2.891,0.7352
ARCONIC,4,2.0,cross-community,14,1.3146713994616601,2.0,12.0,0.6633,0.6316,0.6831,0.612
ARTHUR J. GALLAGHER,2,5.0,cross-community,19,1.0366464801211202,15.0,4.0,0.349,0.4818,0.5548,0.6447
ASSURANT,1,1.0,stable,52,5.257102493516403,33.0,19.0,0.5429,4.5683,0.6888,0.2379
AT&T,0,2.0,cross-community,683,38.17772609396042,350.0,333.0,0.661,10.4931,27.6846,0.752
BALL,0,0.0,stable,341,27.957141840110168,217.0,124.0,0.5494,16.8337,11.1235,0.5756
BANK OF AMERICA,1,1.0,stable,161,19.392584597801164,111.0,50.0,0.4846,13.9474,5.4451,0.4507
BAXTER INTERNATIONAL,3,3.0,stable,243,24.572100611565634,92.0,151.0,0.6984,8.3938,16.1783,0.7192
BECTON DICKINSON,3,3.0,stable,261,28.390153482119704,99.0,162.0,0.6576,9.3175,19.0726,0.6933
BERKSHIRE HATHAWAY,2,0.0,cross-community,1161,28.528137218619875,790.0,371.0,0.4764,13.0677,15.4605,0.6643
BIOGEN,3,3.0,stable,147,11.53482157969904,126.0,21.0,0.2549,8.7717,2.7631,0.3983
BLACKROCK,1,1.0,stable,152,17.14323625777577,97.0,55.0,0.5547,10.0752,7.068,0.5983
BLACKSTONE GROUP,3,3.0,stable,71,5.166388473021549,57.0,14.0,0.3368,4.296,0.8704,0.2974
BOEING,0,0.0,stable,602,43.776388038014375,286.0,316.0,0.6896,17.1195,26.6569,0.7289
BOOKING HOLDINGS,1,1.0,stable,1,0.027185257435959335,1.0,0.0,0.0,0.0272,0.0,0.0
BOOZ ALLEN HAMILTON,0,0.0,stable,197,14.908573423142862,155.0,42.0,0.3626,11.5006,3.408,0.3864
BORGWARNER,0,2.0,cross-community,18,1.5509890813186156,13.0,5.0,0.4259,0.7305,0.8205,0.4983
BOSTON SCIENTIFIC,3,3.0,stable,41,5.0805080619595975,14.0,27.0,0.677,1.6941,3.3864,0.6962
BRISTOL-MYERS SQUIBB,3,3.0,stable,433,24.547958364918554,277.0,156.0,0.5242,11.9567,12.5913,0.6538
BROADCOM,0,0.0,stable,1,0.02166279698973539,1.0,0.0,0.0,0.0217,0.0,0.0
CALPINE,2,2.0,stable,353,25.346778322234098,297.0,56.0,0.2821,18.1322,7.2146,0.4561
CAMPBELL SOUP,4,0.0,cross-community,9,1.0991500875521079,6.0,3.0,0.4444,0.9142,0.1849,0.2799
CAPITAL ONE FINANCIAL,1,1.0,stable,160,18.17093991491981,84.0,76.0,0.6466,7.9388,10.2321,0.706
CARDINAL HEALTH,3,3.0,stable,41,4.571899104747245,18.0,23.0,0.6401,2.1851,2.3867,0.6383
CATERPILLAR,3,2.0,cross-community,326,34.42945431274428,61.0,265.0,0.7392,10.8077,23.6218,0.746
CBS,1,1.0,stable,56,6.530702706223891,28.0,28.0,0.6358,3.1651,3.3656,0.6381
CELANESE,1,1.0,stable,30,0.9160353436266242,12.0,18.0,0.7,0.5266,0.3895,0.6055
CELGENE,3,3.0,stable,70,5.552210198473502,65.0,5.0,0.1359,4.3844,1.1678,0.361
CENTENE,3,3.0,stable,126,12.826082592146655,96.0,30.0,0.3997,8.9454,3.8807,0.4831
CENTERPOINT ENERGY,2,2.0,stable,362,18.180953980843977,328.0,34.0,0.176,13.5764,4.6046,0.422
CHARLES SCHWAB,1,1.0,stable,113,12.4730761138556,96.0,17.0,0.2689,10.3532,2.1199,0.3009
CHEMOURS,2,2.0,stable,89,12.325876036604376,50.0,39.0,0.5671,7.2767,5.0492,0.5556
CHENIERE ENERGY,2,2.0,stable,28,1.3744426375354049,25.0,3.0,0.1913,1.3415,0.0329,0.0468
CHEVRON,2,2.0,stable,69,3.234873116084307,33.0,36.0,0.6864,1.5151,1.7198,0.6546
CHS,2,2.0,stable,92,7.973581471477162,38.0,54.0,0.7328,3.9163,4.0573,0.6446
CIGNA,3,3.0,stable,393,30.491267782558943,223.0,170.0,0.6148,13.4072,17.0841,0.7052
CISCO SYSTEMS,0,0.0,stable,161,16.992292017138986,115.0,46.0,0.4677,9.9067,7.0856,0.6016
CITIGROUP,1,1.0,stable,150,14.414960092368636,76.0,74.0,0.673,8.0716,6.3434,0.6094
CITIZENS FINANCIAL GROUP,1,1.0,stable,77,5.97959808283174,60.0,17.0,0.3724,4.7951,1.1845,0.341
CLOROX,3,2.0,cross-community,4,0.4367030240663612,3.0,1.0,0.375,0.3829,0.0538,0.2161
CMS ENERGY,2,2.0,stable,1066,36.129393017926645,792.0,274.0,0.4112,14.6309,21.4985,0.6758
COCA-COLA,4,4.0,stable,217,20.24443972950307,68.0,149.0,0.7502,3.696,16.5484,0.7533
COGNIZANT TECHNOLOGY SOLUTIONS,0,0.0,stable,105,9.82901751381563,74.0,31.0,0.4791,6.9561,2.8729,0.475
COMCAST,0,3.0,cross-community,199,9.5407189410048,92.0,107.0,0.6872,1.9762,7.5645,0.7432
CONAGRA BRANDS,0,0.0,stable,5,0.5691704612324354,4.0,1.0,0.32,0.386,0.1832,0.4365
CONOCOPHILLIPS,2,2.0,stable,172,18.103556032908216,82.0,90.0,0.6324,7.2198,10.8838,0.6674
CONSTELLATION BRANDS,1,1.0,stable,43,3.9145207298994547,35.0,8.0,0.3169,3.46,0.4545,0.2053
CORNING,0,0.0,stable,389,34.7232971357012,209.0,180.0,0.6123,17.8031,16.9202,0.6273
CSX,0,0.0,stable,126,12.603807784001166,73.0,53.0,0.5495,8.1266,4.4772,0.5151
CVS HEALTH,3,3.0,stable,171,15.572042074856501,131.0,40.0,0.3939,11.1061,4.466,0.4634
DAVITA,0,0.0,stable,123,13.744215959708724,70.0,53.0,0.6007,8.9704,4.7738,0.5227
DEAN FOODS,4,4.0,stable,34,3.9839153270471606,27.0,7.0,0.3564,3.526,0.4579,0.2105
DEERE,0,0.0,stable,2,0.060896372674468346,2.0,0.0,0.0,0.0609,0.0,0.0
DELL TECHNOLOGIES,0,0.0,stable,441,36.33862028314815,288.0,153.0,0.5362,16.8458,19.4928,0.6843
DELTA AIR LINES,0,0.0,stable,569,36.908045135215616,377.0,192.0,0.5191,21.4419,15.4661,0.5942
DISCOVER FINANCIAL SERVICES,1,1.0,stable,104,10.977564118762743,65.0,39.0,0.5312,5.6965,5.2811,0.6065
DISH NETWORK,0,0.0,stable,64,5.219913562597385,53.0,11.0,0.2964,3.2393,1.9806,0.5322
DTE ENERGY,2,2.0,stable,971,36.51449250595074,732.0,239.0,0.3984,17.0148,19.4997,0.6516
DUKE ENERGY,2,2.0,stable,733,40.51230554754749,446.0,287.0,0.5273,18.3064,22.2059,0.631
DUPONT DE NEMOURS,2,2.0,stable,110,11.746325929358706,64.0,46.0,0.5278,8.1868,3.5595,0.4393
EASTMAN CHEMICAL,2,2.0,stable,47,2.883649439412822,25.0,22.0,0.6537,1.7274,1.1563,0.5792
EBAY,4,3.0,cross-community,6,0.39733441213357484,2.0,4.0,0.6667,0.2376,0.1598,0.5545
ECOLAB,2,2.0,stable,270,29.29003735966752,109.0,161.0,0.7354,12.1942,17.0958,0.7245
ELI LILLY,3,3.0,stable,204,13.647976911186928,128.0,76.0,0.5474,7.4774,6.1706,0.6204
EMERSON ELECTRIC,2,2.0,stable,10,0.7601484772336142,5.0,5.0,0.66,0.6214,0.1387,0.3104
ENTERGY,2,2.0,stable,778,43.96074981388861,461.0,317.0,0.5824,16.7946,27.1661,0.7024
ENTERPRISE PRODUCTS PARTNERS,0,1.0,cross-community,1,0.08404135931413485,1.0,0.0,0.0,0.084,0.0,0.0
EOG RESOURCES,2,2.0,stable,2,0.014294006978987164,1.0,1.0,0.5,0.0135,0.0008,0.1091
ESTEE LAUDER,3,2.0,cross-community,3,0.44977282164871657,2.0,1.0,0.4444,0.3976,0.0522,0.2052
EVERSOURCE ENERGY,2,2.0,stable,254,22.59703619186936,189.0,65.0,0.4176,13.1262,9.4709,0.5754
EXELON,2,2.0,stable,857,35.42363185722887,611.0,246.0,0.4472,15.278,20.1457,0.6489
EXPEDIA GROUP,0,0.0,stable,98,8.224547085817182,64.0,34.0,0.5342,6.2298,1.9947,0.4022
EXXONMOBIL,2,2.0,stable,472,39.092189041568815,224.0,248.0,0.6805,16.6797,22.4125,0.7101
FEDEX,0,0.0,stable,365,28.632907005654186,174.0,191.0,0.701,13.1687,15.4642,0.7019
FIFTH THIRD BANCORP,1,1.0,stable,46,5.5162752285080945,45.0,1.0,0.0425,5.3621,0.1541,0.0547
FIRSTENERGY,2,2.0,stable,439,28.044591974587973,357.0,82.0,0.3207,17.1095,10.9351,0.5482
FLUOR,0,0.0,stable,178,16.54765063840376,90.0,88.0,0.5811,9.2775,7.2701,0.5823
FORD,1,1.0,stable,124,10.628988811891558,58.0,66.0,0.6253,5.2984,5.3306,0.6185
GAP,4,0.0,cross-community,58,7.622249460374169,15.0,43.0,0.7604,3.7782,3.844,0.6862
GENERAL DYNAMICS,0,0.0,stable,466,28.97368231994431,305.0,161.0,0.5223,17.426,11.5476,0.5822
GENERAL ELECTRIC,0,0.0,stable,332,27.870154323954758,170.0,162.0,0.6538,12.6013,15.2688,0.689
GENERAL MILLS,0,3.0,cross-community,47,2.5971951360835357,23.0,24.0,0.66,0.7115,1.8857,0.7063
GENERAL MOTORS,2,2.0,stable,282,27.05005225523785,139.0,143.0,0.6751,12.5135,14.5365,0.6906
GENWORTH FINANCIAL,1,1.0,stable,149,13.885674892025529,83.0,66.0,0.612,7.582,6.3037,0.5935
GILEAD SCIENCES,3,3.0,stable,313,27.795774179593568,140.0,173.0,0.6413,10.0102,17.7856,0.6682
GOLDMAN SACHS GROUP,1,1.0,stable,15,2.2713294886462734,15.0,0.0,0.0,2.2052,0.0661,0.0565
GOODYEAR TIRE & RUBBER,0,5.0,cross-community,57,1.2112159238483293,32.0,25.0,0.5214,0.6237,0.5875,0.5918
GUARDIAN LIFE INS. CO. OF AMERICA,1,3.0,cross-community,315,34.10499138249945,134.0,181.0,0.6833,10.2148,23.8902,0.7181
HALLIBURTON,2,2.0,stable,1,0.017222669020435535,1.0,0.0,0.0,0.0172,0.0,0.0
HARLEY-DAVIDSON,1,1.0,stable,5,0.3903046997735274,2.0,3.0,0.64,0.2339,0.1564,0.5527
HARTFORD FINANCIAL SERVICES,1,1.0,stable,263,22.17668798918886,208.0,55.0,0.3589,13.9171,8.2596,0.5595
HERSHEY,4,,cross-community,1,,1.0,0.0,0.0,0.0,0.0,
HEWLETT PACKARD ENTERPRISE,0,0.0,stable,427,37.018501199581195,267.0,160.0,0.5661,17.6281,19.3904,0.6837
HILTON WORLDWIDE HOLDINGS,1,1.0,stable,113,11.446489831514349,70.0,43.0,0.5617,6.4188,5.0277,0.6209
HOME DEPOT,4,4.0,stable,239,26.208349976290723,28.0,211.0,0.7555,2.864,23.3444,0.7513
HONEYWELL INTERNATIONAL,0,0.0,stable,290,24.51896580654557,161.0,129.0,0.5826,12.6635,11.8554,0.6211
HORMEL FOODS,4,2.0,cross-community,38,2.1456842675941363,10.0,28.0,0.7327,1.1222,1.0235,0.5924
HUMANA,3,3.0,stable,234,20.462755122669915,160.0,74.0,0.4948,11.6438,8.819,0.613
HUNTINGTON INGALLS INDUSTRIES,0,0.0,stable,245,22.05723378052939,180.0,65.0,0.434,15.7316,6.3256,0.4616
HUNTSMAN,0,0.0,stable,88,6.250753036134578,58.0,30.0,0.4925,4.9477,1.3031,0.3357
IBM,0,0.0,stable,674,49.35376766689269,399.0,275.0,0.6022,20.3594,28.9944,0.7301
IHEARTMEDIA,0,1.0,cross-community,144,15.033598779932428,78.0,66.0,0.6035,5.671,9.3626,0.6712
ILLINOIS TOOL WORKS,4,4.0,stable,99,11.556317675540425,27.0,72.0,0.7209,2.0565,9.4999,0.6992
INTEL,0,2.0,cross-community,140,16.179203821208002,79.0,61.0,0.537,7.9589,8.2203,0.5612
INTERNATIONAL PAPER,4,2.0,cross-community,144,15.26324778511217,27.0,117.0,0.7595,7.6581,7.6052,0.6722
